AE,AFM,ARCH,BME,CFM,CHE,CIVE,CS,CSBBA,ECE,ENVE,MATH,MATH BBA,MATH CPA,MATH FARM,ME,MSCI,MTE,NE,SCI,SCIBUS,SE,SYDE
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.83,,,,,,,,,,,,,,,
,,,,,,,100.83,,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,
,,,,,,,101.12,,,,,,,,,,,,,,,
,,,,,,,101.2,,,,,,,,,,,,,,,
,,,,,,,101.25,,,,,,,,,,,,,,,
,,,,,,,101.33,,,,,,,,,,,,,,,
,,,,,,,101.33,,,,,,,,,,,,,,,
,,,,,,,101.5,,,,,,,,,,,,,,,
,,,,,,,101.67,,,,,,,,,,,,,,,
,,,,,,,101.7,,,,,,,,,,,,,,,
,,,,,,,101.83,,,,,,,,,,,,,,,
,,,,,,,102,,,,,,,,,,,,,,,
,,,,,,,102.16,,,,,,,,,,,,,,,
,,,,,,,102.33,,,,,,,,,,,,,,,
,,,,,,,102.33,,,,,,,,,,,,,,,
,,,,,,,102.33,,,,,,,,,,,,,,,
,,,,,,,102.5,,,,,,,,,,,,,,,
,,,,,,,102.6,,,,,,,,,,,,,,,
,,,,,,,102.67,,,,,,,,,,,,,,,
,,,,,,,102.83,,,,,,,,,,,,,,,
,,,,,,,103,,,,,,,,,,,,,,,
,,,,,,,103,,,,,,,,,,,,,,,
,,,,,,,103,,,,,,,,,,,,,,,
,,,,,,,103.3,,,,,,,,,,,,,,,
,,,,,,,103.3,,,,,,,,,,,,,,,
,,,,,,,103.67,,,,,,,,,,,,,,,
,,,,,,,103.7,,,,,,,,,,,,,,,
,,,,,,,104,,,,,,,,,,,,,,,
,,,,,,,106,,,,,,,,,,,,,,,
